Sector;Coefficent;Lower;Upper
1;-.0365393;-.0498585;-.0232201
2;-.0107283;-.0340034;.0125468
3;-.0225961;-.0404094;-.0047828
4;-.0250768;-.0737019;.0235483
5;.0008855;-.0110434;.0128144
6;-.008607;-.0325048;.0152908
7;-.0246986;-.0410144;-.0083828
8;.0507506;.029774;.0717272
9;-.016473;-.0328958;-.0000503
10;-.0279242;-.059011;.0031627
11;.006725;-.0769984;.0904485
