Date;Shocks_FED;INFO_Shocks_FED
2007-03-21;-0.08995576;0.00660531
2007-05-09;0.02624653;0.01032887
2007-06-28;0.02221391;-0.01015132
2007-08-07;0.05294053;-0.07443978
2007-08-10;0.06860055;-0.07155222
2007-08-17;-0.06942324;0.04979419
2007-09-18;-0.18063154;-0.02446057
2007-10-31;0.05128583;0.00216665
2007-12-11;0.12345881;-0.08563301
2008-01-30;-0.1086811;-0.01229983
2008-03-11;-0.03302792;0.1348048
2008-03-18;0.08190686;-0.02942804
2008-04-30;-0.04946295;-0.03019071
2008-06-25;-0.02870171;-0.02468947
2008-08-05;-0.02594723;-0.01005915
2008-09-16;0.09000567;0.0155486
2008-10-29;0.02701201;-0.10632396
2008-11-25;-0.14326451;0.05079562
2008-12-16;-0.21803775;-0.02957252
2009-01-28;0.00641096;-0.01692673
2009-03-18;-0.13734412;0.07653827
2009-04-29;-0.02841811;0.04526419
2009-06-24;0.05945053;-0.02100717
2009-08-12;0.00856286;-0.02270942
2009-09-23;-0.07525592;-0.01272201
2009-11-04;-0.01754564;-0.00734826
2009-12-16;0.00389324;-0.0022706
2010-01-27;0.00812921;0.01955084
2010-03-16;-0.02932954;-0.00649456
2010-04-28;-0.01323657;0.00651472
2010-06-23;-0.01862923;0.02240633
2010-08-10;-0.04921364;0.0312819
2010-09-21;-0.03793715;0.03227822
2010-11-03;0.01687414;-0.01873329
2010-12-14;-0.00309579;-0.00157583
2011-01-26;0.0007705;-0.00871481
2011-03-15;-0.01279495;0.01956673
2011-04-27;-0.01553016;0.00519344
2011-06-22;-0.00460338;0.00798927
2011-08-09;0.03874492;-0.06509542
2011-09-21;0.06316581;-0.00886996
2011-11-02;0.01306665;-0.00348857
2011-12-13;0.05270119;-0.0432921
2012-01-25;-0.02694354;0.00891939
2012-03-13;0.00270337;0.00535414
2012-04-25;0.00098177;-0.00098177
2012-06-20;0.009776;0.00654326
2012-08-01;0.01623685;-0.00349314
2012-09-13;-0.0282545;0.04402613
2012-10-24;0.0834;-0.08339
2012-12-12;-0.02505452;0.02148958
2013-01-30;0.00286222;-0.00624811
2013-03-20;-0.00553648;0.00737555
2013-05-01;-0.00774815;0.0088745
2013-06-19;0.00614461;-0.00138543
2013-07-31;-0.00013405;-0.00398423
2013-09-18;-0.06719709;0.0520097
2013-10-30;0.01847807;-0.01626471
2013-12-18;-0.04424307;0.04559465
2014-01-29;0.02547689;-0.02220156
2014-03-19;0.02016519;-0.00405018
2014-04-30;-0.00048461;0.00159129
2014-06-18;-0.01532131;0.02227214
2014-07-30;-0.02639344;0.02054929
2014-09-17;-0.00785221;0.02157481
2014-10-29;0.02830176;-0.00646586
2014-12-17;-0.06868336;0.01899448
2015-01-28;0.01193557;-0.01783449
2015-03-18;-0.11601336;0.05251251
2015-04-29;-0.00547425;0.00547425
2015-06-17;-0.04060561;-0.0012497
2015-07-29;-0.01221075;0.00285643
2015-09-17;-0.04339063;-0.02667336
2015-10-28;0.05567073;-0.01595105
2015-12-16;0.00400708;0.02047476
2016-01-27;0.00788727;-0.03540162
2016-03-16;-0.05839254;-0.0267997
2016-04-27;-0.00910046;0.01985107
2016-06-15;-0.01878522;-0.02406902
2016-07-27;-0.00996101;0.01510129
2016-09-21;-0.03499897;-0.00027749
2016-11-02;-0.00200211;0.00531858
2016-12-14;0.03285011;0.00427355
2017-02-01;-0.01980932;-0.00070979
2017-03-15;-0.04013092;-0.00680166
2017-05-03;0.00462457;0.00918921
2017-06-14;0.0119697;0.00716732
2017-07-26;-0.00784022;-0.00535859
2017-09-20;0.02964818;0.01236077
2017-11-01;-0.00415819;0.00598005
2017-12-13;-0.00740095;0.0015568
2018-01-31;0.00869288;-0.00356267
2018-03-21;-0.02133602;0.01981545
2018-05-02;-0.01105005;0.0058411
2018-06-13;0.01696951;0.00096195
2018-08-01;-0.00275144;-0.00022723
2018-09-26;-0.01284894;0.01391194
