Ticker;Stock_Name;Sector
SCHO.CO;Aktieselskabet Schouw & Co.;Industrials
SHAPE.CO;Shape Robotics A/S;Technology
SIF.CO;Silkeborg IF Invest A/S;Communication Services
SIG.CO;Scandinavian Investment Group A/S;Materials
SKAKO.CO;SKAKO A/S;Industrials
SKJE.CO;Skjern Bank A/S;Financials
SMSMED.CO;Scandinavian Medical Solutions A/S;Healthcare
SOLAR-B.CO;Solar A/S;Technology
SPG.CO;SP Group A/S;Materials
SPKSJF.CO;Sparekassen Sjælland-Fyn A/S;Financials
SPNO.CO;Spar Nord Bank A/S;Financials
STENO.CO;Stenocare A/S;Healthcare
STG.CO;Scandinavian Tobacco Group A/S;Consumer Staples
STRINV.CO;Strategic Investments A/S;Financials
SVITZR.CO;Svitzer Group A/S;Industrials
SWISS.CO;Swiss Properties Invest A/S;Real Estate
SYDB.CO;Sydbank A/S;Financials
TCM.CO;TCM Group A/S;Consumer Discretionary
TGAMES.CO;TROPHY GAMES Development A/S;Communication Services
TIV.CO;Tivoli A/S;Consumer Discretionary
TOP.CO;Topdanmark A/S;Financials
TRIFOR.CO;Trifork Group AG;Technology
TRMD-A.CO;TORM plc;Energy
TRYG.CO;Tryg A/S;Financials
UIE.CO;UIE Plc;Consumer Staples
VIRO.CO;ViroGates A/S;Healthcare
VJBA.CO;Vestjysk Bank A/S;Financials
VWS.CO;Vestas Wind Systems A/S;Industrials
WIRTEK.CO;Wirtek A/S;Technology
WMA.CO;WindowMaster International A/S;Industrials
YOYO.CO;OrderYOYO A/S;Technology
ZEAL.CO;Zealand Pharma A/S;Healthcare
AAB.CO;Aalborg Boldspilklub A/S;Consumer Discretionary
