Date;Shocks_ECB;INFO_Shocks_ECB
1999-01-07;0.02035859;-0.05726592
1999-01-21;0.00845088;-0.00492059
1999-02-18;-0.00548904;0.00548904
1999-03-04;-0.00353674;0.00165781
1999-03-18;-0.00227288;0.00156734
1999-04-08;-0.00236878;-0.00493071
1999-04-22;-0.00432511;0.00168214
1999-05-06;0.01457431;-0.00861333
1999-05-20;0.00063508;-0.00063508
1999-06-02;-0.00260235;-0.00453772
1999-06-17;0.01020008;-0.00843494
1999-07-01;0.00131965;1.83e-06
1999-07-15;-0.00371177;0.03446688
1999-07-29;-0.00241037;-0.00696331
1999-08-26;0.00669074;-0.00816031
1999-09-09;-0.02140977;-0.00138116
1999-09-23;-0.01958261;-0.00372097
1999-10-07;-0.04492772;-0.06196548
1999-10-21;-0.02189328;-0.04231012
1999-11-04;0.01001616;0.04340119
1999-11-18;0.00024825;0.00263663
1999-12-02;-0.00444443;0.00444443
1999-12-15;-0.00334932;0.00308502
2000-01-05;0.01116047;-0.02453229
2000-01-20;0.00013931;0.00144405
2000-02-03;-0.03537592;0.05989298
2000-02-17;-0.00419577;0.00419577
2000-03-02;-0.03017539;-0.00611164
2000-03-16;-0.02180782;-0.01977465
2000-03-30;-0.01370507;0.00859142
2000-04-13;0.01779638;-0.02078133
2000-04-27;0.0056872;0.00574719
2000-05-11;-0.04943199;0.06585675
2000-05-25;-0.01359448;-0.00348943
2000-06-08;0.11667573;0.04904178
2000-06-21;-0.0046731;-0.0008339
2000-07-06;0.01544284;0.00907417
2000-07-20;0.00474544;-0.0113793
2000-08-03;-0.00144618;-0.01195919
2000-08-31;-0.04540495;-0.02365558
2000-09-14;-0.03176693;-0.00024736
2000-10-05;0.0493234;0.02802234
2000-10-19;-0.02079451;0.02218399
2000-11-02;-0.00459592;0.00320006
2000-11-16;-0.00412118;-0.01640291
2000-11-30;0.00173123;-0.00173123
2000-12-14;-0.00100394;0.02292985
2001-01-04;0.00490157;0.00287605
2001-01-18;0.00626501;-0.00384045
2001-02-01;0.001151;0.00625857
2001-02-15;-0.00322388;0.01269889
2001-03-01;0.0273222;0.01686929
2001-03-15;-0.00038686;0.0062915
2001-03-29;0.04061174;0.00750619
2001-04-11;0.06572876;0.11047005
2001-04-26;-0.00264274;0.01464782
2001-05-10;-0.14023467;-0.08926662
2001-05-23;0.00583061;0.00297405
2001-06-07;0.00697136;-0.00330145
2001-06-21;0.02102414;0.02677637
2001-07-05;0.02159468;0.00195806
2001-07-19;0.00797934;0.01288724
2001-08-02;0.03781013;0.02698632
2001-08-30;0.01214734;-0.05059675
2001-09-27;0.03090826;-0.0137344
2001-10-11;0.01207421;0.06884982
2001-10-25;0.03036423;-0.00019447
2001-11-08;0.03069183;-0.00190845
2001-12-06;0.02628807;0.00333592
2002-01-03;0.00981196;0.0112345
2002-02-07;-0.00656467;0.03945875
2002-03-07;-0.03168;0.01278203
2002-04-04;-0.00245686;-0.01181521
2002-05-02;0.03180645;0.01581397
2002-06-06;0.01173372;-0.00605682
2002-07-04;0.00348041;-0.01146988
2002-08-01;0.01777558;-0.01540485
2002-09-12;0.0158187;-0.03971507
2002-10-10;0.02145659;0.00981878
2002-11-07;0.06489641;-0.03624707
2002-12-05;0.00597958;-0.05020248
2003-01-09;-0.02664375;0.05135939
2003-02-06;0.05452619;-0.03402054
2003-03-06;0.06598539;-0.02135541
2003-04-03;0.01797273;0.00304626
2003-05-08;0.05483659;-0.01586156
2003-06-05;0.00126541;-0.05784922
2003-07-10;-0.00421347;0.01195763
2003-07-31;0.00595718;0.00066549
2003-09-04;0.00229365;-0.00723157
2003-10-02;0.03178159;-0.0173348
2003-11-06;-0.00090501;0.00547146
2003-12-04;0.00997847;-0.01935069
2004-01-08;-0.01299618;0.00730243
2004-02-05;-0.00161921;-0.0068016
2004-03-04;0.01217253;0.02771993
2004-04-01;0.04892726;0.02507096
2004-05-06;0.01723543;-0.00644506
2004-06-03;-0.01046931;-0.00015205
2004-07-01;0.0085116;-0.00801135
2004-08-05;-0.00138872;0.00213513
2004-09-02;0.01123013;0.00100204
2004-10-07;-0.00402564;-0.00786891
2004-11-04;-0.00030955;-0.00517934
2004-12-02;0.01763043;-0.00421695
2005-01-13;-0.0176605;-0.01613294
2005-02-03;0.00862285;-0.0121081
2005-03-03;-0.00895305;0.00171935
2005-04-07;0.00305762;-0.01668051
2005-05-04;-0.00731246;0.0088034
2005-06-02;0.01214131;0.00306874
2005-07-07;-0.01969186;0.0391442
2005-08-04;0.00218197;-0.00112288
2005-09-01;-0.00609854;0.0013393
2005-10-06;-0.00715286;0.00525537
2005-11-03;-0.02599716;0.0154939
2005-12-01;-0.02829275;0.00121879
2006-01-12;-0.01489786;-0.00761404
2006-02-02;-0.00534825;-0.0031768
2006-03-02;0.02138522;-0.01288198
2006-04-06;-0.05545904;-0.03547142
2006-05-04;0.00020208;-0.00229847
2006-06-08;-0.03885458;-0.00163029
2006-07-06;0.01397003;0.00621137
2006-08-03;0.00888298;0.00871077
2006-08-31;0.00592756;0.00490292
2006-10-05;-0.00307961;0.00288492
2006-11-02;0.0256582;-0.03111613
2006-12-07;-0.01207379;0.0318733
2007-01-11;-0.0412884;-0.00063388
2007-02-08;0.01188259;-0.00416798
2007-03-08;0.00232528;0.00771148
2007-04-12;0.00837745;-0.01188843
2007-05-10;0.00225568;-0.00514368
2007-06-06;-0.02621;-0.00700637
2007-07-05;0.00417219;-0.00343364
