Ticker;Industry
MSGM;Electronic Gaming & Multimedia
DGLY;Internet Content & Information
VSME;Advertising Agencies
ASST;Internet Content & Information
LKCO;Advertising Agencies
CNET;Advertising Agencies
LFLY;Internet Content & Information
DRCT;Advertising Agencies
BAOS;Advertising Agencies
ADD;Entertainment
TC;Internet Content & Information
AMZN;Internet Retail
TSLA;Auto Manufacturers
HD;Home Improvement Retail
TM;Auto Manufacturers
MCD;Restaurants
BABA;Internet Retail
BKNG;Travel Services
PDD;Internet Retail
LOW;Home Improvement Retail
TJX;Apparel Retail
NKE;Footwear & Accessories
SBUX;Restaurants
MELI;Internet Retail
CMG;Restaurants
ABNB;Travel Services
RACE;Auto Manufacturers
MAR;Lodging
ORLY;Specialty Retail
RCL;Travel Services
SE;Internet Retail
HLT;Lodging
JD;Internet Retail
GM;Auto Manufacturers
AZO;Specialty Retail
ROST;Apparel Retail
CVNA;Auto & Truck Dealerships
DHI;Residential Construction
TCOM;Travel Services
LULU;Apparel Retail
FLUT;Gambling
LEN;Residential Construction
CPNG;Internet Retail
F;Auto Manufacturers
LVS;Resorts & Casinos
HMC;Auto Manufacturers
STLA;Auto Manufacturers
YUM;Restaurants
CCL;Travel Services
QSR;Restaurants
EBAY;Internet Retail
TSCO;Specialty Retail
DECK;Footwear & Accessories
SW;Packaging & Containers
NVR;Residential Construction
PHM;Residential Construction
EXPE;Travel Services
LI;Auto Manufacturers
ROL;Personal Services
WSM;Specialty Retail
PKG;Packaging & Containers
DKNG;Gambling
IHG;Lodging
ULTA;Specialty Retail
DRI;Restaurants
VIK;Travel Services
IP;Packaging & Containers
YUMC;Restaurants
BBY;Specialty Retail
BURL;Apparel Retail
ONON;Footwear & Accessories
GPC;Auto Parts
DKS;Specialty Retail
BALL;Packaging & Containers
AVY;Packaging & Containers
DPZ;Restaurants
TOL;Residential Construction
CASY;Specialty Retail
CAVA;Restaurants
H;Lodging
RIVN;Auto Manufacturers
AMCR;Packaging & Containers
TPR;Luxury Goods
MBLY;Auto Parts
RL;Apparel Manufacturing
SN;Furnishings, Fixtures & Appliances
APTV;Auto Parts
KMX;Auto & Truck Dealerships
XPEV;Auto Manufacturers
GME;Specialty Retail
MGA;Auto Parts
MMYT;Travel Services
TXRH;Restaurants
AS;Leisure
CHWY;Internet Retail
SCI;Personal Services
FND;Home Improvement Retail
VFS;Auto Manufacturers
NCLH;Travel Services
HTHT;Lodging
MGM;Resorts & Casinos
NIO;Auto Manufacturers
CART;Internet Retail
PAG;Auto & Truck Dealerships
SKX;Footwear & Accessories
MUSA;Specialty Retail
WYNN;Resorts & Casinos
CCK;Packaging & Containers
LKQ;Auto Parts
BIRK;Footwear & Accessories
CHDN;Gambling
LAD;Auto & Truck Dealerships
ALSN;Auto Parts
GAP;Apparel Retail
WING;Restaurants
TPX;Furnishings, Fixtures & Appliances
BROS;Restaurants
HAS;Leisure
GPK;Packaging & Containers
GLBE;Internet Retail
BBWI;Specialty Retail
LNW;Gambling
MHK;Furnishings, Fixtures & Appliances
VFC;Apparel Manufacturing
PLNT;Leisure
BERY;Packaging & Containers
CZR;Resorts & Casinos
WH;Lodging
LCID;Auto Manufacturers
ALV;Auto Parts
MNSO;Specialty Retail
HRB;Personal Services
BWA;Auto Parts
VIPS;Internet Retail
GIL;Apparel Manufacturing
ZK;Auto Manufacturers
RH;Specialty Retail
ANF;Apparel Retail
MTN;Resorts & Casinos
TMHC;Residential Construction
AN;Auto & Truck Dealerships
LEVI;Apparel Manufacturing
DDS;Department Stores
GNTX;Auto Parts
W;Internet Retail
MOD;Auto Parts
WHR;Furnishings, Fixtures & Appliances
CHH;Lodging
ETSY;Internet Retail
MTH;Residential Construction
BYD;Resorts & Casinos
BFAM;Personal Services
MAT;Leisure
CROX;Footwear & Accessories
FIVE;Specialty Retail
PVH;Apparel Manufacturing
SKY;Residential Construction
IBP;Residential Construction
SLGN;Packaging & Containers
REYN;Packaging & Containers
KBH;Residential Construction
SHAK;Restaurants
LEA;Auto Parts
THO;Recreational Vehicles
EAT;Restaurants
GPI;Auto & Truck Dealerships
SEE;Packaging & Containers
RRR;Resorts & Casinos
BC;Recreational Vehicles
COLM;Apparel Manufacturing
SON;Packaging & Containers
ABG;Auto & Truck Dealerships
VVV;Auto & Truck Dealerships
LTH;Leisure
RUSHA;Auto & Truck Dealerships
KTB;Apparel Manufacturing
RUSHB;Auto & Truck Dealerships
FUN;Leisure
M;Department Stores
GOLF;Leisure
BOOT;Apparel Retail
URBN;Apparel Retail
FTDR;Personal Services
UAA;Apparel Manufacturing
MHO;Residential Construction
SG;Restaurants
HOG;Recreational Vehicles
DORM;Auto Parts
UA;Apparel Manufacturing
HGV;Resorts & Casinos
CVCO;Residential Construction
ATAT;Lodging
IGT;Gambling
CARG;Auto & Truck Dealerships
TPH;Residential Construction
BWMX;Specialty Retail
PTON;Leisure
SIG;Luxury Goods
JWN;Department Stores
DOOO;Recreational Vehicles
ACVA;Auto & Truck Dealerships
VSCO;Apparel Retail
TNL;Travel Services
YETI;Leisure
PII;Recreational Vehicles
WEN;Restaurants
ASO;Specialty Retail
AEO;Apparel Retail
SGHC;Gambling
VAC;Resorts & Casinos
GEF.B;Packaging & Containers
GEF;Packaging & Containers
SHOO;Footwear & Accessories
PRKS;Leisure
PTVE;Packaging & Containers
PATK;Furnishings, Fixtures & Appliances
LCII;Recreational Vehicles
PENN;Resorts & Casinos
RSI;Gambling
GRBK;Residential Construction
GT;Auto Parts
MLCO;Resorts & Casinos
HBI;Apparel Manufacturing
DFH;Residential Construction
AAP;Specialty Retail
DRVN;Auto & Truck Dealerships
QS;Auto Parts
CPRI;Luxury Goods
BKE;Apparel Retail
VC;Auto Parts
LOT;Auto Manufacturers
AIN;Textile Manufacturing
RVLV;Internet Retail
LGIH;Residential Construction
CAKE;Restaurants
CWH;Auto & Truck Dealerships
MCW;Auto & Truck Dealerships
KLC;Diversified Consumer Services
PSNY;Auto Manufacturers
SAH;Auto & Truck Dealerships
PHIN;Auto Parts
KAR;Auto & Truck Dealerships
ZGN;Apparel Manufacturing
MBC;Furnishings, Fixtures & Appliances
FL;Apparel Retail
AMBP;Packaging & Containers
EVGO;Specialty Retail
OSW;Leisure
TRIP;Travel Services
CRI;Apparel Retail
GTX;Auto Parts
DAN;Auto Parts
LZB;Furnishings, Fixtures & Appliances
OI;Packaging & Containers
MSGE;Leisure
WWW;Footwear & Accessories
MLKN;Furnishings, Fixtures & Appliances
BOWL;Leisure
ADNT;Auto Parts
ARCO;Restaurants
KSS;Department Stores
WGO;Recreational Vehicles
PZZA;Restaurants
SVV;Specialty Retail
LEG;Furnishings, Fixtures & Appliances
MCRI;Resorts & Casinos
HDL;Restaurants
ARHS;Home Improvement Retail
SCS;Furnishings, Fixtures & Appliances
MODG;Leisure
OLPX;Specialty Retail
WINA;Specialty Retail
HSAI;Auto Parts
GIII;Apparel Manufacturing
FOXF;Auto Parts
WOOF;Specialty Retail
THRM;Auto Parts
AMWD;Furnishings, Fixtures & Appliances
DESP;Travel Services
