Sector;Coefficent;Lower;Upper
1;-.0789731;-.1062369;-.0517093
2;-.0804873;-.1067411;-.0542336
3;-.0394678;-.0556367;-.0232989
4;-.0530399;-.0784405;-.0276393
5;-.0624132;-.0850963;-.0397301
6;-.0511169;-.076739;-.0254949
7;-.0779852;-.0970265;-.0589438
8;-.1008747;-.1234652;-.0782842
9;-.0853496;-.1156965;-.0550026
10;-.1081564;-.1407534;-.0755593
11;-.0402059;-.0618403;-.0185715
